a,b,c,e,d,U,W
1.5,8,1.5,1.7,2.5,-12.32,3.2300187
1.5,8,1.5,1.7,3.7,-12.1,3.3220658
1.5,8,1.5,1.7,5,-11.9,3.4217835
1.5,8,1.5,2.3,2.5,-11.96,3.3565835
1.5,8,1.5,2.3,3.7,-11.76,3.4486306
1.5,8,1.5,2.3,5,-11.58,3.5483483
1.5,8,1.5,3,2.5,-11.61,3.5042424
1.5,8,1.5,3,3.7,-11.42,3.5962895
1.5,8,1.5,3,5,-11.26,3.6960072
1.5,8,2,1.7,2.5,-12.15,3.3997306
1.5,8,2,1.7,3.7,-11.96,3.4802718
1.5,8,2,1.7,5,-11.78,3.5675248
1.5,8,2,2.3,2.5,-11.8,3.5262953
1.5,8,2,2.3,3.7,-11.63,3.6068366
1.5,8,2,2.3,5,-11.59,3.6940895
1.5,8,2,3,2.5,-11.47,3.6739542
1.5,8,2,3,3.7,-11.3,3.7544954
1.5,8,2,3,5,-11.16,3.8417484
1.5,8,2.5,1.7,2.5,-11.99,3.5694424
1.5,8,2.5,1.7,3.7,-11.83,3.6384777
1.5,8,2.5,1.7,5,-11.68,3.713266
1.5,8,2.5,2.3,2.5,-11.83,3.6960072
1.5,8,2.5,2.3,3.7,-11.51,3.7650425
1.5,8,2.5,2.3,5,-11.38,3.8398308
1.5,8,2.5,3,2.5,-11.34,3.8436661
1.5,8,2.5,3,3.7,-11.19,3.9127014
1.5,8,2.5,3,5,-11.07,3.9874897
1.5,11,1.5,1.7,2.5,-12.19,3.2300187
1.5,11,1.5,1.7,3.7,-12.07,3.3220658
1.5,11,1.5,1.7,5,-11.87,3.4217835
1.5,11,1.5,2.3,2.5,-11.82,3.3565835
1.5,11,1.5,2.3,3.7,-11.63,3.4486306
1.5,11,1.5,2.3,5,-11.44,3.5483483
1.5,11,1.5,3,2.5,-11.47,3.5042424
1.5,11,1.5,3,3.7,-11.29,3.5962895
1.5,11,1.5,3,5,-11.13,3.6960072
1.5,11,2,1.7,2.5,-12.01,3.3997306
1.5,11,2,1.7,3.7,-11.82,3.4802718
1.5,11,2,1.7,5,-11.64,3.5675248
1.5,11,2,2.3,2.5,-11.49,3.5262953
1.5,11,2,2.3,3.7,-11.38,3.6068366
1.5,11,2,2.3,5,-11.23,3.6940895
1.5,11,2,3,2.5,-11.18,3.6739542
1.5,11,2,3,3.7,-11.08,3.7544954
1.5,11,2,3,5,-10.94,3.8417484
1.5,11,2.5,1.7,2.5,-11.85,3.5694424
1.5,11,2.5,1.7,3.7,-11.68,3.6384777
1.5,11,2.5,1.7,5,-11.54,3.713266
1.5,11,2.5,2.3,2.5,-11.51,3.6960072
1.5,11,2.5,2.3,3.7,-11.37,3.7650425
1.5,11,2.5,2.3,5,-11.23,3.8398308
1.5,11,2.5,3,2.5,-11.19,3.8436661
1.5,11,2.5,3,3.7,-11.06,3.9127014
1.5,11,2.5,3,5,-10.94,3.9874897
1.5,14,1.5,1.7,2.5,-12.13,3.2300187
1.5,14,1.5,1.7,3.7,-11.89,3.3220658
1.5,14,1.5,1.7,5,-11.7,3.4217835
1.5,14,1.5,2.3,2.5,-11.75,3.3565835
1.5,14,1.5,2.3,3.7,-11.55,3.4486306
1.5,14,1.5,2.3,5,-11.37,3.5483483
1.5,14,1.5,3,2.5,-11.29,3.5042424
1.5,14,1.5,3,3.7,-11.22,3.5962895
1.5,14,1.5,3,5,-11.06,3.6960072
